e,country,city,line,start_year,end_year,rr,length,tunnel_per,tunnel,stations,source1,cost,currency,year,ppp_rate,real_cost,cost_km_millions,source2,reference
7640,CN,Beijing,Line 4,2004,2009,0,28.2,95.17%,26.837,24,Media,15300,CNY,2005,0.3517,5381.01,190.82,Media,http://zizhan.mot.gov.cn/zhuantizhuanlan/qita/quanqiuhuanjingjijin/zhishigongxiang/201601/P020160125565596507649.pdf
7649,CN,Beijing,Line 13,1999,2003,0,40.85,0.00%,0,17,Wikiland,6570,CNY,1999,0.37,2430.9,59.51,Media,http://www.wikiwand.com/zh-sg/%E5%8C%97%E4%BA%AC%E5%9C%B0%E9%93%8113%E5%8F%B7%E7%BA%BF
7760,CN,Beijing,Line 28,2017,2021,0,8.777,100.00%,8.777,9,Media,12750,CNY,2019,0.2382,3037.16,346.04,Media,http://www.tzxm.gov.cn/flfg/law/201912/t20191220_12825.html; https://new.qq.com/rain/a/20200812A0UGAJ00
7769,CN,Beijing,Line 11 West,2019,2021,0,4,100.00%,4,4,Plan,4890,CNY,2019,0.2382,1164.84,291.21,Media,http://www.tzxm.gov.cn/flfg/law/201912/t20191220_12825.html
7776,CN,Beijing,Line 3 Phase 1+2,2016,2021,0,37.4,55.61%,20.8,27,Plan,41500,CNY,2015,0.2583,10720.74,286.65,Plan,http://www.gov.cn/xinwen/2018-02/18/content_5267552.htm; https://zh.m.wikisource.org/zh-hans/%E5%8C%97%E4%BA%AC%E5%B8%82%E5%9F%8E%E5%B8%82%E8%BD%A8%E9%81%93%E4%BA%A4%E9%80%9A%E7%AC%AC%E4%BA%8C%E6%9C%9F%E5%BB%BA%E8%AE%BE%E8%A7%84%E5%88%92%EF%BC%882015%EF%BD%9E2021%E5%B9%B4%EF%BC%89
7777,CN,Beijing,Line 12,2017,2021,0,29.2,100.00%,29.2,21,Plan,32400,CNY,2015,0.2583,8369.93,286.64,Media,https://zh.wikisource.org/zh-hans/%E5%8C%97%E4%BA%AC%E5%B8%82%E5%9F%8E%E5%B8%82%E8%BD%A8%E9%81%93%E4%BA%A4%E9%80%9A%E7%AC%AC%E4%BA%8C%E6%9C%9F%E5%BB%BA%E8%AE%BE%E8%A7%84%E5%88%92%EF%BC%882015%EF%BD%9E2021%E5%B9%B4%EF%BC%89
7785,CN,Beijing,Line 8 Phase 4,2016,2018,0,3.4,29.08%,0.9886,2,Wiki,3420,CNY,2015,0.2583,883.49,259.85,Media,https://zh.wikipedia.org/wiki/%E5%8C%97%E4%BA%AC%E5%9C%B0%E9%93%818%E5%8F%B7%E7%BA%BF#%E4%B8%89%E6%9C%9F%E5%8F%8A%E5%9B%9B%E6%9C%9F%E5%B7%A5%E7%A8%8B
7792,CN,Beijing,Line 19 Phase 1,2017,2021,0,22.4,100.00%,22.4,10,Plan,22180,CNY,2015,0.2583,5729.79,255.79,Media,https://zh.wikisource.org/zh-hans/%E5%8C%97%E4%BA%AC%E5%B8%82%E5%9F%8E%E5%B8%82%E8%BD%A8%E9%81%93%E4%BA%A4%E9%80%9A%E7%AC%AC%E4%BA%8C%E6%9C%9F%E5%BB%BA%E8%AE%BE%E8%A7%84%E5%88%92%EF%BC%882015%EF%BD%9E2021%E5%B9%B4%EF%BC%89
7793,CN,Beijing,Line 17,2015,2022,0,49.7,100.00%,49.7,21,Plan,49200,CNY,2015,0.2583,12709.89,255.73,Media,https://zh.wikisource.org/zh-hans/%E5%8C%97%E4%BA%AC%E5%B8%82%E5%9F%8E%E5%B8%82%E8%BD%A8%E9%81%93%E4%BA%A4%E9%80%9A%E7%AC%AC%E4%BA%8C%E6%9C%9F%E5%BB%BA%E8%AE%BE%E8%A7%84%E5%88%92%EF%BC%882015%EF%BD%9E2021%E5%B9%B4%EF%BC%89
7794,CN,Beijing,Line 16,2013,2021,0,49.8,100.00%,49.8,29,Media,49500,CNY,2013,0.2729,13509.83,271.28,Media,http://www.bjnews.com.cn/news/2016/11/25/424943.html; https://baijiahao.baidu.com/s?id=1633332748114018963&wfr=spider&for=pc
